,employee_code,y_obs_train,y_pred_train,non-high performer,high performer,False_positive,False_negative
180,N1Z,0.0,0.0,0.6379122813841336,0.36208771861586636,0,0
181,N67,0.0,0.0,0.7979989359135432,0.2020010640864568,0,0
182,N33,0.0,0.0,0.5883007526903306,0.41169924730966945,0,0
183,N2L,0.0,0.0,0.5967007867461224,0.40329921325387763,0,0
184,N32,0.0,0.0,0.791896188167297,0.20810381183270305,0,0
185,N0S,0.0,0.0,0.8109854128893245,0.1890145871106755,0,0
186,MY0,1.0,1.0,0.3402741280474939,0.6597258719525061,0,0
187,N21,0.0,0.0,0.5913292467812188,0.40867075321878116,0,0
188,N37,0.0,0.0,0.6152906437372301,0.3847093562627699,0,0
189,MQB,1.0,1.0,0.304434604586183,0.695565395413817,0,0
190,N3O,0.0,1.0,0.45899896797736606,0.5410010320226339,1,0
191,N7V,0.0,0.0,0.5913292467812188,0.40867075321878116,0,0
192,N8D,0.0,0.0,0.505814830360308,0.49418516963969195,0,0
193,L46,0.0,0.0,0.6063637542330615,0.39363624576693845,0,0
194,N17,0.0,0.0,0.6780589459557459,0.3219410540442541,0,0
195,N68,1.0,1.0,0.2528648994965792,0.7471351005034208,0,0
196,L9W,0.0,1.0,0.15023383302785132,0.8497661669721487,1,0
197,LQV,0.0,0.0,0.7835239169195107,0.21647608308048924,0,0
198,N3Q,0.0,0.0,0.5749252318882168,0.42507476811178324,0,0
199,N7O,0.0,0.0,0.7429072166962636,0.2570927833037364,0,0
200,N77,0.0,0.0,0.6033719445595894,0.3966280554404106,0,0
201,N49,0.0,1.0,0.47182020375684375,0.5281797962431563,1,0
202,KJZ,0.0,0.0,0.6586401681879692,0.3413598318120308,0,0
203,ND6,0.0,0.0,0.8294317370604403,0.17056826293955968,0,0
204,MSS,0.0,1.0,0.4621089636479623,0.5378910363520377,1,0
205,N01,0.0,0.0,0.7216224757635237,0.27837752423647627,0,0
206,MWE,1.0,1.0,0.43118092268820596,0.568819077311794,0,0
207,MQ8,0.0,0.0,0.5370419391394257,0.4629580608605744,0,0
208,NCF,0.0,0.0,0.7622057061888927,0.23779429381110728,0,0
209,MZR,0.0,0.0,0.5276931093924304,0.4723068906075696,0,0
210,N26,0.0,0.0,0.5791759233627427,0.42082407663725735,0,0
211,K6E,1.0,1.0,0.12681677532696478,0.8731832246730352,0,0
212,N6K,0.0,1.0,0.23166528252998397,0.768334717470016,1,0
213,M55,0.0,0.0,0.514479545354714,0.48552045464528604,0,0
214,N4C,1.0,1.0,0.4159007378271036,0.5840992621728964,0,0
215,N8I,0.0,0.0,0.643308240646348,0.356691759353652,0,0
216,N0R,0.0,0.0,0.7856206087079654,0.21437939129203468,0,0
217,N0M,0.0,0.0,0.5864155319235644,0.4135844680764356,0,0
218,MVT,0.0,0.0,0.6395203618320383,0.3604796381679617,0,0
219,N05,0.0,0.0,0.5883007526903306,0.41169924730966945,0,0
220,N45,0.0,0.0,0.5576834854940818,0.44231651450591825,0,0
221,N1T,0.0,0.0,0.7835047899764719,0.2164952100235281,0,0
222,N74,0.0,0.0,0.5913292467812188,0.40867075321878116,0,0
223,MRF,1.0,1.0,0.2862036088328145,0.7137963911671855,0,0
224,N5L,0.0,0.0,0.795327464271961,0.20467253572803895,0,0
225,NDE,0.0,0.0,0.5245721845630187,0.4754278154369813,0,0
226,MY6,0.0,1.0,0.4621089636479623,0.5378910363520377,1,0
227,N8U,0.0,0.0,0.6021990631558871,0.39780093684411294,0,0
228,N8S,0.0,0.0,0.543623383680556,0.4563766163194441,0,0
229,MTG,0.0,0.0,0.8697708063773153,0.1302291936226847,0,0
230,N28,0.0,1.0,0.4267326858145807,0.5732673141854193,1,0
231,N8E,0.0,1.0,0.3017903873104332,0.6982096126895668,1,0
232,L8J,0.0,1.0,0.2760848348144903,0.7239151651855097,1,0
233,N61,0.0,1.0,0.48934419194779954,0.5106558080522005,1,0
234,MUM,1.0,1.0,0.24996697968442472,0.7500330203155753,0,0
235,JQB,0.0,0.0,0.7813931629978003,0.21860683700219974,0,0
236,N34,1.0,1.0,0.3257039743427742,0.6742960256572258,0,0
237,N91,0.0,0.0,0.530811871196901,0.46918812880309907,0,0
238,MXO,0.0,0.0,0.7639481843208085,0.23605181567919148,0,0
239,N9A,0.0,1.0,0.46207530015240894,0.5379246998475911,1,0
240,NB7,0.0,0.0,0.5548067800459109,0.44519321995408917,0,0
241,N89,1.0,1.0,0.19057660206559868,0.8094233979344013,0,0
242,MPV,0.0,1.0,0.14706557198011638,0.8529344280198836,1,0
243,N3B,0.0,0.0,0.8811028579007961,0.11889714209920386,0,0
244,MX9,0.0,0.0,0.621199472333652,0.378800527666348,0,0
245,N3M,0.0,0.0,0.649396160916996,0.35060383908300397,0,0
246,F6Q,1.0,1.0,0.3751616896763721,0.6248383103236279,0,0
247,N12,0.0,0.0,0.7340196953711988,0.2659803046288011,0,0
248,NCN,0.0,1.0,0.4496890766991197,0.5503109233008803,1,0
249,N0J,0.0,1.0,0.43118092268820596,0.568819077311794,1,0
250,MVU,0.0,1.0,0.2811164981397012,0.7188835018602988,1,0
251,MPW,1.0,0.0,0.5967007867461224,0.40329921325387763,0,1
252,NBN,0.0,0.0,0.648131662305534,0.35186833769446596,0,0
253,MSV,0.0,0.0,0.5714084064266136,0.42859159357338644,0,0
254,N46,0.0,0.0,0.6432823651488078,0.35671763485119223,0,0
255,MQO,0.0,0.0,0.5913292467812188,0.40867075321878116,0,0
256,N7R,1.0,1.0,0.45899896797736606,0.5410010320226339,0,0
257,MUZ,1.0,0.0,0.671489890872317,0.328510109127683,0,1
258,N52,0.0,0.0,0.820628834304738,0.179371165695262,0,0
259,MYF,1.0,0.0,0.8336250347036562,0.1663749652963438,0,1
260,N92,0.0,0.0,0.7002165404854954,0.2997834595145046,0,0
261,KRG,1.0,1.0,0.2847963529129247,0.7152036470870753,0,0
262,N9W,0.0,0.0,0.5093091814484267,0.4906908185515732,0,0
263,N4Y,0.0,1.0,0.24352269066647458,0.7564773093335254,1,0
264,N15,0.0,0.0,0.621199472333652,0.378800527666348,0,0
265,MYZ,0.0,0.0,0.6051939310074468,0.39480606899255316,0,0
266,MZW,0.0,0.0,0.8283510775550418,0.17164892244495825,0,0
267,MU6,0.0,1.0,0.4901689407677612,0.5098310592322388,1,0
268,LSE,0.0,0.0,0.9012893933189705,0.0987106066810295,0,0
269,N2R,1.0,1.0,0.38220456886145115,0.6177954311385488,0,0
270,N5X,0.0,1.0,0.4489765208830684,0.5510234791169316,1,0
271,MZM,0.0,1.0,0.304434604586183,0.695565395413817,1,0
272,BDP,0.0,0.0,0.5172513226188418,0.4827486773811583,0,0
273,MXK,0.0,0.0,0.7356694136093445,0.2643305863906556,0,0
274,N5H,0.0,0.0,0.791896188167297,0.20810381183270305,0,0
275,MXQ,0.0,0.0,0.5409772953333087,0.4590227046666912,0,0
276,N2I,0.0,0.0,0.6152906437372301,0.3847093562627699,0,0
277,N6V,0.0,0.0,0.672069057737533,0.32793094226246705,0,0
278,NAP,0.0,1.0,0.4621089636479623,0.5378910363520377,1,0
279,MXW,0.0,0.0,0.5913292467812188,0.40867075321878116,0,0
280,N5S,0.0,1.0,0.4465932683002859,0.5534067316997141,1,0
281,MWR,0.0,0.0,0.6003723821320879,0.3996276178679121,0,0
282,N1Q,0.0,1.0,0.4621089636479623,0.5378910363520377,1,0
283,MTI,0.0,0.0,0.51832481646878,0.48167518353121996,0,0
284,N8M,0.0,0.0,0.5913292467812188,0.40867075321878116,0,0
285,MZX,0.0,0.0,0.6659436753390472,0.3340563246609528,0,0
286,N4J,0.0,0.0,0.5714084064266136,0.42859159357338644,0,0
287,MWM,0.0,0.0,0.7182544089622129,0.2817455910377871,0,0
