employee_code,finance_concentration,flag_hd_highschool,shortest_tenure,trilingual_flag,sales_customer_base_exp,communication_skills,competitor_experience,cashier_jobtitle,fitness_sports_jobtitle,hp_class
MZE,-0.2344036154692477,1.970115715434855,0.29042676467218737,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
MRU,-0.2344036154692477,-0.5075843982998098,-0.5548737340111757,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
LAP,-0.2344036154692477,-0.5075843982998098,-0.170646234609647,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
MYD,-0.2344036154692477,-0.5075843982998098,-0.170646234609647,2.293658554627822,0.37194074924457615,0.6416889479197478,-1.0139866932482433,2.6886002731107927,-0.25046082988418183,1.0
JJB,-0.2344036154692477,-0.5075843982998098,-0.7854102336520928,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
MVZ,-0.2344036154692477,-0.5075843982998098,0.21358126479188164,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
N0F,4.266145801540308,-0.5075843982998098,-0.5548737340111757,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,1.0
N1L,-0.2344036154692477,-0.5075843982998098,0.9820362635949389,2.293658554627822,-2.6886002731107927,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
NAY,-0.2344036154692477,-0.5075843982998098,0.059890265031270165,-0.4359846839375199,0.37194074924457615,-1.5583874449479593,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
N5M,-0.2344036154692477,-0.5075843982998098,-0.5548737340111757,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
MQM,-0.2344036154692477,-0.5075843982998098,1.1357272633555504,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
MU9,-0.2344036154692477,-0.5075843982998098,0.1367357649115759,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
MW9,-0.2344036154692477,-0.5075843982998098,-0.5548737340111757,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,1.0
MVX,-0.2344036154692477,-0.5075843982998098,-0.4780282341308699,2.293658554627822,-2.6886002731107927,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
N7I,-0.2344036154692477,-0.5075843982998098,-0.4011827342505642,-0.4359846839375199,-2.6886002731107927,-1.5583874449479593,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
MWN,-0.2344036154692477,-0.5075843982998098,0.1367357649115759,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
N3V,-0.2344036154692477,-0.5075843982998098,0.1367357649115759,2.293658554627822,0.37194074924457615,0.6416889479197478,-1.0139866932482433,2.6886002731107927,-0.25046082988418183,1.0
MZS,-0.2344036154692477,-0.5075843982998098,-0.7854102336520928,2.293658554627822,0.37194074924457615,-1.5583874449479593,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
NAX,-0.2344036154692477,-0.5075843982998098,0.7514997639540217,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
N5U,-0.2344036154692477,-0.5075843982998098,0.1367357649115759,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,2.6886002731107927,-0.25046082988418183,1.0
N6Z,-0.2344036154692477,-0.5075843982998098,-0.5548737340111757,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
MQK,-0.2344036154692477,1.970115715434855,-0.4780282341308699,-0.4359846839375199,0.37194074924457615,-1.5583874449479593,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
N3T,-0.2344036154692477,1.970115715434855,-0.6317192338914814,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,3.992640288153722,0.0
ND5,-0.2344036154692477,-0.5075843982998098,-0.4780282341308699,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
N7Y,-0.2344036154692477,-0.5075843982998098,-0.01695523484903556,-0.4359846839375199,0.37194074924457615,-1.5583874449479593,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,1.0
N6U,-0.2344036154692477,-0.5075843982998098,-0.5548737340111757,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
N8R,-0.2344036154692477,1.970115715434855,-0.170646234609647,-0.4359846839375199,0.37194074924457615,-1.5583874449479593,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,1.0
N3C,-0.2344036154692477,-0.5075843982998098,-0.4780282341308699,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,2.6886002731107927,-0.25046082988418183,0.0
N0Y,-0.2344036154692477,-0.5075843982998098,-0.4780282341308699,-0.4359846839375199,0.37194074924457615,-1.5583874449479593,0.9862062358989764,-0.3719407492445761,3.992640288153722,0.0
MXA,-0.2344036154692477,-0.5075843982998098,-0.7085647337717871,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,1.0
N29,-0.2344036154692477,-0.5075843982998098,-0.4780282341308699,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
N08,-0.2344036154692477,-0.5075843982998098,-0.7085647337717871,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
MUA,-0.2344036154692477,1.970115715434855,-0.5548737340111757,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,1.0
N38,-0.2344036154692477,-0.5075843982998098,0.36727226455249307,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,1.0
MSY,4.266145801540308,-0.5075843982998098,-0.7085647337717871,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,1.0
N7E,-0.2344036154692477,1.970115715434855,-0.09380073472934129,-0.4359846839375199,0.37194074924457615,-1.5583874449479593,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
N0W,-0.2344036154692477,-0.5075843982998098,1.0588817634752445,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
N1B,-0.2344036154692477,-0.5075843982998098,1.212572763235856,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,2.6886002731107927,-0.25046082988418183,1.0
N8C,-0.2344036154692477,-0.5075843982998098,0.1367357649115759,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,1.0
MZ1,-0.2344036154692477,-0.5075843982998098,-0.24749173448995274,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,2.6886002731107927,-0.25046082988418183,1.0
MQ2,-0.2344036154692477,-0.5075843982998098,-0.5548737340111757,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,1.0
MZP,4.266145801540308,-0.5075843982998098,-0.170646234609647,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,1.0
N10,-0.2344036154692477,-0.5075843982998098,-0.4011827342505642,2.293658554627822,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,1.0
MTX,-0.2344036154692477,-0.5075843982998098,-0.4011827342505642,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,1.0
KLM,-0.2344036154692477,-0.5075843982998098,-0.5548737340111757,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
N7Q,-0.2344036154692477,-0.5075843982998098,-0.6317192338914814,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
MVW,-0.2344036154692477,1.970115715434855,-0.6317192338914814,-0.4359846839375199,0.37194074924457615,-1.5583874449479593,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
MUG,4.266145801540308,-0.5075843982998098,-0.6317192338914814,-0.4359846839375199,0.37194074924457615,0.6416889479197478,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,1.0
MZV,-0.2344036154692477,-0.5075843982998098,-0.01695523484903556,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,3.992640288153722,0.0
N1S,-0.2344036154692477,-0.5075843982998098,-0.5548737340111757,-0.4359846839375199,0.37194074924457615,-1.5583874449479593,0.9862062358989764,-0.3719407492445761,3.992640288153722,1.0
NA8,-0.2344036154692477,1.970115715434855,0.1367357649115759,-0.4359846839375199,0.37194074924457615,-1.5583874449479593,0.9862062358989764,-0.3719407492445761,-0.25046082988418183,0.0
MU4,-0.2344036154692477,-0.5075843982998098,-0.5548737340111757,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
N4U,-0.2344036154692477,1.970115715434855,-0.6317192338914814,-0.4359846839375199,0.37194074924457615,0.6416889479197478,-1.0139866932482433,-0.3719407492445761,-0.25046082988418183,0.0
