Neg feats,Neg weights,Pos feats,Pos weights
flag_hd_highschool,-0.23368831460930922,competitor_experience,0.32321770954160983
fitness_sports_jobtitle,-0.20040003889247474,sales_customer_base_exp,0.299537111285562
,,trilingual_flag,0.2516561023030964
,,finance_concentration,0.19029404950823997
,,shortest_tenure,0.1628974394013261
,,cashier_jobtitle,0.15758713657897042
,,communication_skills,0.1308032199071873
